Model,MSE (Validation),R² (Validation),MSE (Test),R² (Test)
Lorenz - Linear Regression,65.02404087602162,0.0121957871788958,62.86402297457222,0.01884099243174575
Lorenz - Decision Tree,3.4379486922731926,0.9477728520722773,3.1464619099429894,0.9508911568360856
Lorenz - Random Forest,2.0069576436683487,0.9695115654354822,2.109255948571811,0.9670794935595317
Lorenz - SVM,8.349248237138115,0.8731634873590954,7.1726127461727565,0.8880524460460819
Narendra - Linear Regression,5.67118307917316e+180,1.0,1.199641121292374e+181,1.0
Narendra - Decision Tree,2.4264624279926062e+207,0.9660682030233202,1.0273050280599253e+208,0.9297083927444968
Narendra - Random Forest,1.317068559251941e+207,0.9815820338113056,6.623933161077196e+207,0.9546768588172448
Narendra - SVM,7.153200080189878e+208,-0.0003078145964696688,1.4616850898097739e+209,-0.00013327549040531572
